heard_of_pill,heard_of_condoms,heard_of_injectables,heard_of_iud,heard_of_implants,heard_of_emergency_pill,heard_of_female_sterilization,heard_of_male_sterilization,heard_of_withdrawal,heard_of_rhythm,knows_fp_source,knows_condom_source,knows_any_method
yes,yes,no,no,no,no,no,no,no,yes,no,no,1
yes,yes,no,no,no,no,no,no,no,yes,no,no,1
yes,yes,yes,no,yes,no,no,no,no,no,no,no,1
no,yes,no,no,no,no,no,no,no,no,no,no,1
yes,yes,yes,no,no,no,no,no,no,yes,no,no,1
no,yes,no,no,no,yes,no,no,no,yes,yes,no,1
yes,yes,yes,no,no,no,yes,yes,no,no,no,yes,1
yes,yes,no,no,no,no,no,no,no,no,no,no,1
no,yes,no,no,no,no,no,no,no,no,no,yes,1
yes,yes,no,no,no,no,no,no,no,no,no,no,1
no,yes,no,no,no,no,no,no,no,yes,yes,yes,1
yes,yes,no,no,no,no,no,no,no,yes,no,no,1
yes,yes,no,no,no,yes,no,no,no,yes,yes,yes,1
no,yes,yes,no,no,no,no,no,no,no,no,no,1
yes,yes,no,no,no,no,no,no,no,no,yes,yes,1
yes,no,no,no,no,no,no,no,no,yes,no,no,1
no,yes,no,no,no,no,yes,no,no,yes,no,no,1
no,yes,no,no,no,no,no,no,no,no,no,no,1
no,no,no,no,no,no,no,no,yes,no,no,no,1
no,yes,no,no,no,no,yes,yes,no,yes,,no,1
no,yes,no,no,no,no,no,no,no,no,no,yes,1
no,yes,no,no,no,no,no,no,no,no,no,no,1
no,yes,no,no,no,no,yes,no,no,yes,yes,yes,1
no,yes,no,no,no,no,no,no,no,no,yes,yes,1
yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,1
yes,yes,no,yes,no,yes,no,no,no,no,yes,yes,1
yes,yes,no,no,no,yes,no,no,no,yes,no,no,1
no,no,no,no,no,no,no,no,yes,no,no,no,1
yes,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,1
no,yes,no,no,no,no,no,no,no,no,no,no,1
yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,1
yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,1
yes,yes,yes,no,no,no,yes,no,no,yes,yes,yes,1
no,yes,no,no,no,no,no,no,no,no,no,no,1
yes,yes,no,no,no,yes,no,no,no,yes,yes,no,1
no,yes,no,no,no,no,no,no,no,no,no,no,1
yes,yes,no,no,yes,no,no,no,no,no,no,no,1
no,yes,no,no,no,no,no,no,no,no,no,no,1
no,yes,no,no,no,yes,no,no,no,yes,yes,no,1
no,yes,no,no,no,no,no,no,no,yes,no,no,1
yes,no,yes,no,no,no,no,no,no,no,yes,no,1
yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,1
yes,yes,no,no,no,yes,no,no,no,no,yes,no,1
no,yes,no,no,no,no,no,no,no,no,no,yes,1
no,yes,no,no,no,no,no,no,no,no,no,no,1
no,yes,no,no,no,no,no,no,no,no,no,no,1
no,yes,no,no,no,yes,no,no,no,yes,yes,no,1
no,yes,no,no,no,no,no,no,no,yes,yes,yes,1
yes,yes,no,no,no,no,yes,no,no,yes,,no,1
no,yes,no,no,no,no,no,no,no,no,no,no,1
yes,yes,yes,no,no,no,yes,no,no,no,no,yes,1
yes,yes,yes,no,yes,yes,no,no,no,no,,no,1
yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,1
no,no,no,no,no,no,no,no,no,yes,no,no,1
no,yes,no,no,yes,yes,no,yes,no,yes,no,yes,1
no,yes,no,no,no,no,yes,no,no,no,no,no,1
yes,no,yes,no,no,no,no,no,no,no,no,no,1
no,yes,no,no,no,no,no,no,no,yes,yes,yes,1
yes,yes,no,no,no,no,no,no,no,no,no,yes,1
yes,yes,no,no,no,no,no,no,no,no,no,no,1
no,yes,yes,yes,yes,no,no,no,no,no,no,,1
no,yes,no,no,no,no,no,no,no,yes,yes,no,1
no,yes,yes,no,yes,no,no,no,no,no,yes,no,1
no,yes,no,no,no,no,no,no,no,no,yes,no,1
no,no,yes,no,no,no,no,no,no,no,no,no,1
no,yes,no,no,no,no,no,no,no,no,no,no,1
no,yes,no,no,no,no,no,no,no,no,yes,yes,1
yes,yes,no,no,no,no,no,no,no,no,no,yes,1
no,yes,no,no,no,no,no,no,no,yes,yes,yes,1
yes,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,1
no,yes,no,no,no,no,no,no,no,no,no,no,1
yes,yes,no,no,yes,yes,no,no,no,no,no,no,1
yes,yes,no,no,yes,yes,no,no,no,yes,no,no,1
yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,1
no,yes,no,no,no,yes,no,no,no,no,no,no,1
yes,yes,no,no,no,yes,no,no,no,yes,,yes,1
no,no,no,no,no,no,no,no,no,yes,no,no,1
yes,yes,no,no,yes,yes,no,no,no,yes,no,no,1
no,yes,no,no,no,no,no,no,no,no,yes,yes,1
yes,yes,no,no,no,no,no,no,no,yes,no,no,1
no,yes,no,no,no,yes,no,no,no,no,no,no,1
yes,yes,no,no,no,no,no,no,no,yes,no,yes,1
yes,no,no,no,no,yes,no,no,no,no,yes,yes,1
yes,yes,no,no,no,no,no,no,yes,yes,no,no,1
no,yes,no,no,no,no,no,no,no,no,yes,no,1
no,yes,no,no,no,no,no,no,no,no,no,no,1
yes,yes,no,no,no,yes,no,yes,no,yes,no,no,1
yes,yes,no,no,no,no,no,no,no,no,no,no,1
yes,yes,yes,no,no,yes,no,no,no,no,no,no,1
yes,yes,no,no,no,no,no,no,no,no,no,no,1
yes,yes,no,no,no,yes,no,no,no,no,no,no,1
yes,yes,yes,no,no,yes,no,no,no,yes,no,no,1
no,yes,no,no,no,no,no,yes,no,no,no,no,1
no,yes,no,no,no,no,yes,yes,yes,yes,no,no,1
yes,yes,no,no,no,no,no,no,no,yes,no,no,1
yes,yes,no,no,no,yes,no,no,no,no,no,no,1
yes,yes,no,no,no,no,no,yes,no,no,no,no,1
yes,yes,no,no,no,yes,yes,no,no,no,yes,yes,1
yes,yes,no,no,no,no,no,no,no,no,no,yes,1
yes,yes,no,no,no,yes,no,no,no,no,no,no,1
no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,1
yes,no,no,no,no,yes,no,no,no,no,no,no,1
no,yes,no,no,no,no,no,no,no,yes,no,yes,1
yes,yes,yes,yes,no,yes,no,yes,no,no,no,yes,1
yes,yes,no,no,no,yes,no,no,no,yes,no,no,1
no,yes,no,no,no,no,no,no,no,no,no,no,1
yes,yes,yes,no,yes,no,no,no,no,no,no,no,1
yes,yes,no,yes,no,no,no,no,no,yes,yes,yes,1
yes,yes,yes,no,no,yes,no,no,no,no,no,no,1
yes,yes,no,no,no,no,no,no,no,yes,yes,yes,1
yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,1
no,yes,no,no,no,no,no,no,no,no,no,no,1
yes,yes,no,no,no,no,yes,no,no,no,yes,yes,1
no,yes,no,no,no,no,no,no,no,yes,no,no,1
yes,yes,no,no,no,no,no,no,no,no,no,no,1
no,yes,no,no,no,no,no,no,no,yes,yes,yes,1
no,yes,no,no,no,no,yes,yes,no,no,no,yes,1
yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,1
yes,yes,no,no,yes,no,no,no,no,no,no,no,1
no,yes,no,no,no,no,no,no,no,no,no,no,1
yes,yes,no,no,no,no,no,no,no,no,no,no,1
no,yes,no,no,no,no,no,no,no,no,no,no,1
yes,yes,yes,yes,no,no,yes,yes,no,yes,no,no,1
no,yes,no,no,no,no,no,no,no,no,no,no,1
yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,1
yes,yes,no,no,no,yes,no,no,no,yes,yes,no,1
yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,1
yes,yes,no,no,no,no,no,no,no,yes,yes,no,1
no,yes,no,no,no,no,no,no,no,no,no,no,1
no,no,no,no,no,no,no,no,no,no,,,1
yes,no,no,no,no,no,no,no,no,yes,yes,no,1
yes,yes,no,no,no,no,no,no,no,no,yes,yes,1
no,yes,no,no,no,no,no,no,no,no,no,no,1
no,yes,yes,yes,yes,yes,no,no,no,yes,no,no,1
yes,yes,no,no,no,no,no,no,no,no,no,no,1
yes,yes,yes,no,no,yes,no,no,no,yes,no,no,1
yes,yes,no,no,yes,no,no,yes,no,no,no,no,1
yes,yes,yes,no,no,yes,yes,yes,no,yes,yes,yes,1
yes,yes,yes,no,no,yes,no,no,no,no,no,no,1
yes,yes,no,no,no,yes,no,no,no,no,no,no,1
yes,yes,no,no,no,yes,no,no,no,yes,no,no,1
yes,yes,no,no,yes,yes,no,no,no,yes,no,no,1
yes,yes,yes,no,yes,yes,no,no,no,no,yes,yes,1
no,yes,no,no,no,yes,no,no,no,no,no,no,1
yes,yes,no,no,no,yes,no,no,no,no,yes,no,1
no,yes,yes,no,yes,yes,no,no,no,yes,no,no,1
no,yes,no,no,no,yes,no,no,no,yes,no,yes,1
yes,yes,no,no,no,no,no,yes,no,no,no,no,1
yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,1
yes,yes,no,no,no,no,yes,no,no,no,yes,yes,1
yes,yes,no,no,no,yes,no,no,no,yes,no,no,1
yes,yes,yes,no,no,yes,no,no,no,no,no,no,1
no,yes,no,yes,no,yes,no,no,no,no,no,no,1
yes,yes,no,no,no,yes,no,no,yes,yes,no,no,1
yes,yes,no,no,no,yes,no,yes,no,no,no,no,1
yes,yes,no,yes,no,yes,no,no,no,yes,no,no,1
yes,yes,no,yes,yes,yes,no,no,no,yes,no,no,1
no,yes,no,no,no,yes,yes,no,no,no,no,no,1
yes,yes,yes,no,no,yes,no,no,no,no,no,no,1
no,yes,no,no,no,no,no,no,no,yes,no,no,1
yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,1
yes,yes,no,yes,no,yes,no,no,no,no,yes,yes,1
yes,yes,no,no,no,yes,no,no,no,yes,yes,yes,1
yes,yes,yes,no,no,no,yes,no,no,no,no,no,1
yes,yes,no,no,no,yes,no,no,no,no,yes,yes,1
no,yes,no,no,no,no,yes,yes,no,no,no,no,1
yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,1
yes,yes,no,no,no,no,no,no,yes,yes,yes,no,1
yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,1
yes,yes,yes,no,no,yes,no,no,no,yes,yes,yes,1
yes,yes,no,no,no,yes,no,no,no,yes,no,yes,1
no,yes,no,no,no,no,no,no,no,yes,no,no,1
yes,yes,no,no,yes,yes,no,no,no,yes,no,no,1
yes,yes,no,no,no,yes,no,no,no,yes,yes,no,1
yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,1
yes,yes,yes,no,no,yes,no,no,no,no,yes,yes,1
yes,yes,no,no,no,no,no,no,no,yes,yes,yes,1
yes,yes,yes,yes,no,yes,no,no,no,yes,no,yes,1
no,yes,no,no,yes,yes,yes,yes,no,no,no,no,1
yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,1
no,yes,no,no,no,yes,no,no,no,no,yes,yes,1
yes,yes,no,no,yes,yes,no,no,no,no,no,no,1
yes,yes,no,no,no,yes,no,no,no,no,yes,yes,1
yes,yes,no,no,no,yes,no,no,no,yes,yes,yes,1
yes,yes,yes,no,no,yes,no,no,no,yes,no,no,1
no,yes,no,no,no,no,no,no,no,yes,no,no,1
yes,yes,no,yes,yes,yes,no,no,no,no,no,no,1
yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,1
yes,yes,yes,no,no,yes,yes,no,yes,yes,no,no,1
yes,yes,no,no,no,no,no,no,no,no,yes,no,1
no,yes,yes,no,no,no,no,no,no,no,no,no,1
no,no,no,yes,yes,no,no,no,no,no,yes,no,1
yes,yes,no,no,no,no,no,no,no,no,no,no,1
yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,1
yes,yes,no,no,no,yes,no,no,no,no,no,yes,1
no,yes,no,no,no,yes,no,no,no,yes,yes,yes,1
yes,yes,yes,yes,no,no,no,no,no,no,no,no,1
no,yes,no,no,no,yes,no,no,no,yes,no,no,1
yes,yes,yes,no,no,yes,no,no,no,no,yes,no,1
yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,1
yes,yes,no,yes,no,yes,no,no,no,yes,no,no,1
no,yes,no,no,no,no,no,no,no,yes,no,no,1
yes,yes,yes,no,no,yes,no,no,no,yes,no,no,1
yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,1
yes,yes,no,no,yes,yes,no,no,no,no,yes,yes,1
yes,yes,no,no,no,no,no,no,no,no,yes,no,1
yes,yes,yes,no,no,no,no,no,no,yes,yes,no,1
yes,yes,yes,yes,no,no,no,no,no,no,yes,no,1
yes,yes,no,no,no,no,no,no,no,yes,yes,yes,1
yes,yes,no,no,no,yes,yes,no,no,yes,yes,yes,1
yes,yes,no,no,no,no,no,no,no,yes,no,no,1
yes,yes,no,no,no,no,no,no,no,yes,yes,yes,1
no,yes,yes,yes,yes,yes,no,no,no,yes,no,no,1
no,yes,yes,no,no,yes,no,no,no,yes,no,no,1
yes,yes,no,no,no,yes,yes,no,no,no,yes,yes,1
no,yes,no,no,no,yes,no,no,no,yes,yes,yes,1
yes,yes,yes,no,yes,yes,no,no,no,no,yes,yes,1
yes,yes,no,no,no,yes,no,no,no,no,no,no,1
yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,1
yes,yes,no,no,no,no,no,no,no,no,no,no,1
yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,1
yes,yes,yes,yes,no,yes,no,no,no,no,no,no,1
yes,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,1
yes,yes,yes,yes,no,yes,no,no,no,no,no,no,1
yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,1
yes,yes,yes,no,no,yes,no,no,no,yes,no,no,1
yes,yes,yes,yes,no,yes,no,no,no,no,no,no,1
yes,yes,no,yes,no,yes,no,no,no,no,yes,no,1
yes,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,1
yes,yes,no,no,no,yes,no,no,yes,no,no,no,1
no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,1
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,1
yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,1
yes,yes,no,no,no,no,no,no,no,yes,no,no,1
yes,yes,no,no,no,yes,no,no,no,no,no,no,1
yes,yes,no,no,yes,no,yes,yes,no,no,no,no,1
yes,yes,no,no,no,yes,no,no,no,no,no,no,1
yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,1
yes,yes,no,no,no,yes,no,no,no,no,no,no,1
yes,yes,no,no,yes,no,yes,yes,no,no,no,no,1
yes,yes,no,no,no,yes,yes,yes,no,no,no,no,1
yes,yes,no,no,no,no,yes,no,no,no,no,no,1
yes,yes,no,no,yes,yes,no,no,yes,yes,no,no,1
yes,yes,no,no,no,no,yes,yes,no,yes,no,no,1
yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,1
yes,yes,no,no,no,no,yes,yes,yes,no,no,no,1
yes,yes,no,no,no,no,yes,no,no,no,no,no,1
yes,yes,no,no,no,no,no,no,no,yes,no,no,1
yes,yes,no,no,no,no,no,no,no,no,no,no,1
no,yes,no,no,yes,yes,no,no,no,no,no,no,1
yes,yes,no,no,no,yes,no,no,no,yes,no,no,1
yes,yes,no,no,no,no,no,no,yes,no,no,no,1
yes,yes,yes,no,yes,yes,no,no,no,no,no,no,1
yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,1
no,yes,no,no,no,no,yes,no,no,no,yes,yes,1
yes,yes,no,no,no,no,no,no,no,no,no,no,1
yes,yes,yes,no,no,yes,no,yes,no,no,no,no,1
yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,1
yes,yes,no,no,no,yes,yes,yes,no,no,no,no,1
yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,1
yes,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,1
yes,yes,no,no,no,no,no,no,no,no,yes,no,1
yes,yes,no,no,no,yes,yes,no,no,no,no,yes,1
yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,1
no,yes,no,no,no,no,yes,no,no,no,yes,yes,1
yes,yes,no,no,no,yes,no,no,no,no,no,no,1
yes,yes,no,yes,yes,yes,no,no,yes,no,no,no,1
yes,no,no,no,no,no,no,no,yes,no,no,no,1
yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,1
yes,yes,no,yes,no,no,no,no,yes,yes,no,no,1
no,yes,no,no,no,yes,no,no,no,yes,no,no,1
yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,1
yes,yes,no,no,no,no,yes,no,no,no,no,no,1
yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,1
no,yes,no,no,no,no,no,no,no,no,yes,no,1
no,no,no,no,no,no,no,no,no,no,,,1
no,yes,no,no,no,no,no,no,no,no,no,no,1
yes,yes,no,yes,no,no,no,no,no,no,no,no,1
yes,yes,no,no,yes,no,no,no,no,no,no,no,1
yes,yes,no,no,no,no,no,no,no,no,no,no,1
yes,yes,no,no,no,no,no,yes,no,yes,no,no,1
no,yes,no,no,no,yes,no,no,no,yes,no,no,1
no,yes,no,no,no,no,no,no,no,no,no,no,1
yes,yes,no,no,yes,yes,no,no,no,no,no,no,1
yes,yes,no,yes,no,yes,no,no,no,no,no,yes,1
yes,yes,yes,no,yes,yes,no,no,no,no,no,no,1
no,yes,yes,no,no,yes,no,no,no,yes,,,1
yes,yes,no,no,no,no,no,no,no,no,no,no,1
yes,yes,no,no,no,no,no,no,no,no,yes,no,1
yes,yes,no,no,no,no,no,no,no,yes,no,no,1
yes,yes,no,no,no,no,no,no,no,no,no,yes,1
yes,yes,no,no,no,no,no,no,no,no,no,no,1
yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,1
yes,yes,no,no,no,no,yes,yes,no,no,no,no,1
yes,no,yes,no,no,no,no,no,no,no,yes,no,1
yes,yes,no,no,no,no,no,no,no,no,no,no,1
yes,yes,no,yes,no,yes,no,no,no,no,yes,yes,1
yes,yes,no,no,no,no,no,no,no,no,no,no,1
yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,1
no,yes,no,no,no,no,no,no,no,no,no,no,1
yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,1
yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,1
yes,yes,no,no,no,no,no,no,no,yes,yes,yes,1
yes,yes,yes,no,no,no,no,no,no,no,no,no,1
yes,yes,no,no,no,no,no,no,no,no,yes,no,1
yes,yes,no,yes,no,yes,no,no,no,yes,no,no,1
no,yes,no,no,no,yes,yes,yes,no,no,yes,yes,1
yes,yes,no,yes,no,no,no,no,no,no,no,no,1
yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,1
yes,yes,no,yes,no,no,no,yes,no,no,no,no,1
no,yes,no,no,no,no,no,no,no,yes,no,yes,1
yes,yes,yes,yes,no,yes,no,no,no,no,no,no,1
yes,yes,no,yes,no,no,no,no,no,yes,no,no,1
yes,yes,yes,no,no,yes,no,no,no,yes,no,no,1
no,yes,yes,no,no,no,no,no,yes,yes,no,no,1
yes,yes,yes,no,no,yes,no,no,no,yes,yes,no,1
no,yes,no,no,no,no,no,no,no,no,no,no,1
yes,yes,no,no,no,yes,no,no,no,yes,no,yes,1
no,yes,no,no,no,no,no,no,no,no,no,no,1
no,yes,no,yes,no,yes,yes,yes,no,no,yes,yes,1
yes,yes,no,yes,no,no,yes,no,no,yes,no,no,1
yes,yes,no,no,no,no,no,no,no,no,no,no,1
no,no,no,no,no,yes,no,no,no,no,no,no,1
yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,1
yes,yes,no,no,no,yes,no,no,no,yes,no,no,1
yes,yes,no,no,no,yes,yes,yes,no,no,no,no,1
yes,yes,no,no,no,no,no,no,no,no,yes,yes,1
no,yes,no,no,no,yes,no,no,no,no,no,no,1
no,yes,yes,no,no,no,no,yes,no,no,no,no,1
yes,yes,no,no,no,no,no,no,no,yes,no,yes,1
yes,yes,no,no,no,no,no,no,no,no,no,no,1
yes,no,yes,no,no,yes,no,no,no,no,yes,yes,1
yes,yes,no,yes,no,yes,no,no,no,no,no,no,1
no,yes,no,yes,no,yes,no,no,no,no,no,no,1
yes,yes,no,no,no,no,yes,yes,no,yes,no,no,1
no,yes,no,no,no,no,yes,no,no,no,yes,yes,1
yes,yes,no,yes,no,no,no,no,no,yes,no,no,1
yes,yes,yes,no,no,yes,no,no,yes,yes,yes,yes,1
yes,no,no,no,no,no,no,no,no,no,no,no,1
yes,yes,no,no,no,no,yes,yes,no,no,no,no,1
yes,yes,yes,no,no,no,no,no,no,no,no,no,1
no,yes,no,no,no,no,no,no,no,no,yes,yes,1
no,yes,yes,no,no,no,no,no,no,yes,yes,yes,1
yes,yes,no,no,yes,no,no,no,no,no,no,no,1
yes,yes,no,yes,no,yes,no,no,no,no,no,yes,1
no,yes,no,yes,no,no,no,no,no,yes,no,yes,1
yes,yes,no,no,no,no,no,no,no,no,no,yes,1
yes,yes,no,no,no,yes,no,no,no,no,no,no,1
no,yes,no,no,no,no,no,no,no,yes,no,yes,1
no,yes,no,no,no,yes,no,no,no,no,no,yes,1
no,yes,no,no,no,no,no,no,no,yes,no,no,1
no,yes,no,no,no,no,no,no,no,yes,no,yes,1
yes,yes,no,no,no,no,no,no,no,no,no,no,1
yes,yes,no,yes,yes,yes,no,no,no,yes,no,no,1
