menstrual_myth_travel_changes_cycle,menstrual_myth_weight_gain_at_puberty,menstrual_myth_girls_puberty_before_boys,menstrual_myth_periods_every_28_days,menstrual_myth_tampons_age_restriction,menstrual_myth_others_can_tell,menstrual_myth_swimming_dangerous,menstrual_myth_athletes_stop_menstruating,menstrual_myth_periods_clean_dirty_blood,menstrual_myth_cup_of_blood_loss,menstrual_myth_blood_flushes_out_egg,menstrual_myth_blood_comes_from_uterus,menstrual_myth_blood_comes_from_urethra,menstrual_myth_all_get_bad_tempered
True,False,True,True,D/know,True,False,False,False,D/know,True,True,False,False
False,False,True,True,True,False,True,True,True,True,True,False,True,False
True,True,True,True,True,True,True,True,True,True,True,True,False,True
True,True,True,True,True,True,False,True,True,False,True,False,False,False
True,False,True,True,True,True,True,True,False,False,True,False,False,False
N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
True,True,True,True,False,False,False,True,True,True,True,True,False,True
True,False,False,False,True,True,True,True,True,True,True,True,False,True
False,True,False,True,True,True,False,False,True,True,True,True,False,True
True,True,True,True,False,False,True,False,True,Missing,True,True,False,False
False,True,True,True,True,True,True,True,True,True,True,True,False,False
N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
False,True,True,False,False,False,False,False,True,True,True,True,False,False
True,True,True,True,False,False,False,True,True,True,False,False,False,True
True,True,True,True,True,True,False,True,True,True,True,True,False,True
False,True,True,True,False,False,True,True,False,True,True,D/know,D/know,False
N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
True,True,True,True,True,True,True,False,False,False,True,False,False,True
False,True,False,True,D/know,False,True,False,True,False,True,D/know,False,False
N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
True,True,True,True,True,False,True,True,True,True,False,False,False,False
True,True,True,True,False,False,True,True,True,Missing,False,True,True,False
True,True,True,False,True,False,True,False,True,True,False,True,True,True
False,False,True,False,True,True,True,True,True,True,True,True,False,True
True,True,True,True,False,True,False,True,False,True,True,True,True,True
True,True,True,True,True,False,True,False,False,True,True,False,False,False
True,True,True,True,True,True,False,True,True,True,True,True,False,True
False,True,True,True,False,True,True,False,False,False,True,False,True,False
True,True,True,True,False,False,False,False,True,True,True,False,True,True
True,D/know,False,True,False,True,True,D/know,D/know,True,True,True,False,False
True,False,True,True,True,False,False,False,True,True,True,True,False,True
N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
False,True,True,False,True,True,True,False,True,True,True,True,False,True
N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
False,True,True,True,False,False,False,True,D/know,True,True,True,True,True
