attitude_attitude_periods_great_growing_up,attitude_attitude_periods_proud,attitude_attitude_sorry_for_young_girls,attitude_attitude_periods_nuisance,attitude_attitude_periods_embarrassing,attitude_attitude_first_period_great_event,attitude_attitude_keep_quiet_about_periods,attitude_attitude_periods_uncomfortable,attitude_attitude_would_rather_stay_girl,attitude_attitude_periods_make_you_special,attitude_attitude_periods_exciting_interesting
Probably yes,Probably yes,Definately yes,Definately no,Definately no,Definately yes,Definately no,Probably no,Probably yes,Definately yes,Definately no
Definately yes,Definately yes,Probably yes,Definately yes,Probably no,Definately yes,Probably yes,Probably yes,Definately no,Definately yes,Definately no
Definately yes,Probably yes,Definately yes,Probably yes,Definately no,Definately yes,Definately no,Definately no,Definately no,Definately yes,Definately no
Probably yes,Probably yes,Definately yes,Definately no,Definately no,Probably yes,Probably yes,Probably no,Probably no,Probably yes,Definately yes
N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Definately yes,Definately yes,Definately no,Probably no,Probably no,Definately yes,Definately no,Definately no,Definately no,Probably yes,Probably yes
Definately yes,Definately yes,Definately yes,Definately yes,Definately no,Definately no,Definately yes,Definately yes,Definately no,Definately no,Definately no
Definately yes,Definately yes,Definately yes,Definately no,Definately no,Definately yes,Definately yes,Definately no,Definately no,Definately yes,Definately yes
Definately yes,Definately yes,Definately no,Definately no,Definately no,Definately yes,Probably no,Definately no,Probably no,Probably yes,Probably yes
Definately yes,Definately yes,Definately yes,Definately no,Definately no,Definately yes,Definately no,Definately yes,Definately yes,Definately yes,Definately yes
N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Definately yes,Definately yes,Definately no,Probably no,Definately no,Definately yes,Probably no,Definately no,Definately no,Definately yes,Definately yes
Definately yes,Definately yes,Definately yes,Definately no,Definately no,Definately yes,Definately no,Definately no,Definately no,Definately yes,Probably yes
Definately yes,Definately yes,Probably yes,Definately no,Definately no,Definately yes,Definately no,Probably yes,Probably yes,Definately yes,Definately yes
Definately yes,Definately yes,Probably no,Definately no,Definately no,Definately yes,Probably yes,Definately yes,Definately no,Definately yes,Probably no
N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Definately yes,Definately yes,Definately yes,Definately no,Definately no,Definately yes,Probably no,Definately no,Definately no,Definately no,Definately yes
Definately yes,Definately yes,Definately yes,Definately no,Definately no,Definately yes,Definately no,Definately no,Probably yes,Definately yes,Definately yes
N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Definately yes,Definately yes,Definately yes,Definately no,Definately no,Definately no,Definately yes,Definately yes,Definately yes,Definately no,Definately no
Probably yes,Probably yes,Probably no,Probably no,Probably no,Probably yes,Probably no,Probably no,Probably no,Definately yes,Probably yes
Definately yes,Probably yes,Probably no,Probably no,Probably no,Definately yes,Probably no,Probably no,Definately yes,Probably no,Probably no
Definately no,Definately no,Definately no,Probably no,Definately yes,Definately no,Definately yes,Definately no,Definately no,Definately yes,Definately no
Probably yes,Definately yes,Definately yes,Definately no,Probably no,Definately no,Definately no,Definately no,Definately no,Definately no,Definately yes
Definately yes,Probably yes,Definately no,Probably no,Definately no,Definately no,Probably no,Probably no,Probably no,Probably no,Definately no
Definately yes,Definately yes,Definately no,Definately no,Definately no,Definately yes,Definately no,Definately no,Definately no,Definately no,Definately yes
Definately yes,Definately yes,Definately no,Definately no,Definately no,Definately yes,Definately no,Definately no,Definately no,Definately no,Definately no
Definately yes,Definately yes,Definately no,Definately no,Definately no,Definately yes,Definately no,Definately no,Definately no,Definately yes,Definately yes
Probably yes,Probably yes,Probably no,Definately no,Definately no,Probably yes,Probably no,Definately yes,Definately no,Probably yes,Probably yes
Probably yes,Probably yes,Definately no,Definately no,Probably no,Probably yes,Definately no,Probably yes,Probably yes,Definately no,Definately no
N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Definately yes,Definately yes,Definately no,Definately no,Definately yes,Definately yes,Probably yes,Probably no,Probably yes,Probably no,Probably no
N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Definately yes,Definately yes,Definately no,Definately no,Definately no,Definately yes,Definately no,Definately yes,Definately yes,Definately yes,Definately yes
